Chrom.1		
UV		
ml	mAU	
0.918	-0.5800797	
0.918	-0.5814574	
0.919	-0.5820682	
0.92	-0.5828292	
0.921	-0.5826639	
0.922	-0.5832834	
0.923	-0.5827684	
0.923	-0.584604	
0.924	-0.585086	
0.925	-0.5846075	
0.926	-0.5857562	
0.927	-0.5863354	
0.928	-0.5865929	
0.928	-0.5865754	
0.929	-0.5869034	
0.93	-0.587369	
0.931	-0.5864335	
0.932	-0.5866219	
0.933	-0.5869706	
0.933	-0.5873211	
0.934	-0.588713	
0.935	-0.5902292	
0.936	-0.5899109	
0.937	-0.591058	
0.938	-0.5914469	
0.938	-0.5924523	
0.939	-0.5931621	
0.94	-0.5926723	
0.941	-0.5928468	
0.942	-0.5943736	
0.943	-0.5951259	
0.943	-0.5952224	
0.944	-0.5935013	
0.945	-0.5932423	
0.946	-0.5944716	
0.947	-0.5939443	
0.948	-0.5943449	
0.948	-0.593954	
0.949	-0.5922965	
0.95	-0.5922162	
0.951	-0.5906879	
0.952	-0.5909179	
0.953	-0.5911165	
0.953	-0.5897576	
0.954	-0.5897795	
0.955	-0.588161	
0.956	-0.5867712	
0.957	-0.5871844	
0.958	-0.5866767	
0.958	-0.5875299	
0.959	-0.5898148	
0.96	-0.5899451	
0.961	-0.5904781	
0.962	-0.5907314	
0.963	-0.5906388	
0.963	-0.589931	
0.964	-0.5905867	
0.965	-0.5929925	
0.966	-0.5944352	
0.967	-0.5942819	
0.968	-0.5942273	
0.968	-0.5943859	
0.969	-0.5943998	
0.97	-0.5967781	
0.971	-0.5981274	
0.972	-0.599703	
0.973	-0.5993936	
0.973	-0.5994006	
0.974	-0.6003755	
0.975	-0.6005645	
0.976	-0.6022785	
0.977	-0.6031074	
0.978	-0.6034856	
0.978	-0.604915	
0.979	-0.6046018	
0.98	-0.6038442	
0.981	-0.602987	
0.982	-0.603445	
0.983	-0.6035514	
0.983	-0.6035032	
0.984	-0.6040639	
0.985	-0.6035318	
0.986	-0.6024805	
0.987	-0.6025814	
0.988	-0.6029226	
0.988	-0.6029358	
0.989	-0.602708	
